,year,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($)
0,-1.6915701210253298,-0.24658624239830232,-0.3931463128912491,-0.32386557960286444,-0.30576434076162523,-0.8556718198856464
1,-1.6915701210253298,-0.25215382855435386,-0.3944040551936951,-0.40431604576722197,-0.30576434076162523,-0.8556718198856464
2,-1.6915701210253298,-0.2543808630167745,-0.3991013376701772,-0.4233701035429909,-0.30576434076162523,-0.8556718198856464
3,-1.6915701210253298,-0.2688565870225085,-0.4678664729406446,-0.43607280872683685,-0.30576434076162523,-0.8556718198856464
4,-1.6915701210253298,-0.259948449172826,-0.40305424204929324,-0.5054084078553293,-0.30576434076162523,-0.8556718198856464
5,-1.6915701210253298,-0.2688565870225085,-0.4643242599255925,-0.5302845388403609,-0.30576434076162523,-0.8556718198856464
6,-1.6915701210253298,-0.26328900086645696,-0.40189917258786323,-0.5652169780959372,-0.30576434076162523,-0.8556718198856464
7,-1.6915701210253298,-0.2655160353288776,-0.4074435060027274,-0.5964444616728918,-0.30576434076162523,-0.8556718198856464
8,-1.6915701210253298,-0.2688565870225085,-0.438168353676766,-0.6403746504336922,-0.30576434076162523,-0.8556718198856464
9,-1.6915701210253298,-0.2699701042537188,-0.3936340088860751,-0.6790120453678903,-0.30576434076162523,5.812527546854839e-15
10,-1.6915701210253298,-0.2699701042537188,-0.4363459107487319,-0.6790120453678903,-0.30576434076162523,-0.8556718198856464
11,-1.6915701210253298,-0.2699701042537188,-0.3866522556969869,-0.6790120453678903,-0.30576434076162523,-0.8556718198856464
12,-1.5729562999650117,-0.2677430697912982,-0.4641189142435605,-0.38843766428741455,-0.3057855017894307,-0.8571097817511669
13,-1.5729562999650117,-0.25104031132314353,-0.39152921564524706,-0.3969061344099785,-0.3057855017894307,-0.8571097817511669
14,-1.5729562999650117,-0.2688565870225085,-0.4677381318893746,-0.44189488193609955,-0.3057855017894307,-0.8571097817511669
15,-1.5729562999650117,-0.2543808630167745,-0.39283829436820106,-0.4429534407014201,-0.3057855017894307,-0.8571097817511669
16,-1.5729562999650117,-0.2655160353288776,-0.43747531199990797,-0.5281674213097198,-0.3057855017894307,-0.8571097817511669
17,-1.5729562999650117,-0.26106196640403634,-0.39758691326519113,-0.5355773326669634,-0.3057855017894307,-0.8571097817511669
18,-1.5729562999650117,-0.26662955256008786,-0.4356015326513659,-0.5715683306878602,-0.3057855017894307,-0.8571097817511669
19,-1.5729562999650117,-0.26440251809766724,-0.4061087590695193,-0.577919683279783,-0.3057855017894307,-0.8571097817511669
